! | OTHER 3 OTHER: 5
% | PERSON 9 OTHER 48 OTHER: 88
&ur; | OTHER 1
receiver | OTHER 1
receivers | PERSON 1
recent | OTHER 1
recently. | OTHER 2
receptacle | OTHER 1
reception | OTHER 6 OTHER: 2
receptions | OTHER 1
recess | OTHER 3 OTHER: 1
recession | OTHER 8 OTHER: 8
recg | OTHER: 1
recipe | OTHER 2 OTHER: 1
recipes | OTHER: 1
recipient | PERSON: 1 GPE:Nation 1 GPE 2
recirculated | OTHER: 1
recision | OTHER 1
recliner | OTHER: 1
recluse | PERSON 1
reclusive | OTHER 1
recognition | OTHER 14 OTHER: 1
recoil | OTHER 1
recollection | OTHER 3
recommendation | OTHER 3
recommendations | OTHER 1
reconciliation | OTHER 7 OTHER: 4
reconstruction | OTHER 2
reconvened | OTHER 1
reconvenes | OTHER 2 OTHER: 1
record | OTHER 46 OTHER: 40
recorder | OTHER: 4
recorders | OTHER: 6
recording | OTHER 4 OTHER: 1
records | OTHER 16 OTHER: 3
recouped | OTHER: 1
recovery | OTHER 12 OTHER: 7
recreation | OTHER: 2
recruits | PERSON 2
rectangle | FACILITY 1
recurrence | OTHER 5
red | OTHER 4 OTHER: 1
redemption | OTHER 1
redemptions | OTHER: 1
redeployments | OTHER 1
redfish | OTHER: 1
redistricting | OTHER 2
redoubt | OTHER 1
redrafting | OTHER 1
redrawing | OTHER 1
reduction | OTHER 4 OTHER: 1
reductions | OTHER 10
reefs | OTHER: 1
reel | OTHER: 1
reenactment | OTHER 1
reentering | OTHER 1
reevaluation | OTHER 1
referees | PERSON 1
reference | OTHER 7 OTHER: 1
references | OTHER 3
referendum | OTHER 20 OTHER: 2
referral | OTHER 1
referrals | OTHER 1
refills | OTHER 1
refineries | FACILITY 2
refinery | FACILITY:Plant 1
reflection | OTHER 1 OTHER: 1
reflections | OTHER: 1
reform | OTHER 24 OTHER: 15
reformation | OTHER 1
reformers | PERSON 3
reforms | OTHER 27 OTHER: 6
refrigerator | OTHER: 1
refueled | OTHER 1 OTHER: 1
refueling | OTHER 2
refuge | PERSON 1 FACILITY:Bounded-Area 1 OTHER 1 OTHER: 1
refugee | PERSON 2 PERSON: 1
refugees | PERSON 17 PERSON: 2
refund | OTHER 1 OTHER: 2
refusal | OTHER 7 OTHER: 1
regalia | OTHER 1
regard | OTHER 6
regents | ORGANIZATION 2
regime | ORGANIZATION:Government 1 ORGANIZATION 5 GPE 9 OTHER 7
regimen | OTHER 1
regimes | GPE:Nation 1 GPE 1
region | ORGANIZATION 1 GPE:Continent 2 GPE:State-or-Province 2 GPE:County-or-District 1 GPE 57 GPE:Other 6 LOCATION:Region-Subnational 10 LOCATION:Region-Local 1 LOCATION:Region-National 3 LOCATION 63 LOCATION:Region-International 13 OTHER 3 OTHER: 2
regional | OTHER 1
regions | GPE 11 LOCATION:Region-Subnational 5 LOCATION:Region-National 3 LOCATION:Land-Region-Natural 4 LOCATION 3 OTHER 1 OTHER: 8
register | OTHER 1
registrar | ORGANIZATION 2
registration | OTHER: 1
regret | OTHER 4 OTHER: 1
regrets | OTHER 1 OTHER: 1
regular | OTHER 1
regulars | PERSON 2
regulation | OTHER 5 OTHER: 5
regulations | OTHER 15 OTHER: 5
regulators | PERSON 21 PERSON: 2
rehearsal | OTHER 2
reign | OTHER 3
reimbursement | OTHER: 1
reimbursements | OTHER 1
rein | OTHER 2
reincarnation | OTHER 1
reindeer | OTHER 1
reinstatement | OTHER: 1
reinsurer | ORGANIZATION 1
reinsurers | ORGANIZATION 1
reintroduction | OTHER: 1
reissue | OTHER: 1
rejection | OTHER 4 OTHER: 1
rejections | OTHER 1
rejuvenation | OTHER 1
relation | OTHER 1
relations | OTHER 80 OTHER: 19
relationship | OTHER 66 OTHER: 4
relationships | OTHER 10 OTHER: 4
relative | PERSON 8
relatives | PERSON 18 PERSON: 3 OTHER: 1
relaxation | OTHER 1
release | OTHER 45 OTHER: 9
releases | OTHER 2 OTHER: 2
relentless | OTHER 1
reliability | OTHER 2
reliance | OTHER 4 OTHER: 1
relief | OTHER 8 OTHER: 10
reliever | PERSON: 1
religion | ORGANIZATION 1 OTHER 10 OTHER: 2
religions | OTHER 1
religious | OTHER 1 OTHER: 1
reluctance | OTHER 6 OTHER: 2
remainder | OTHER 2
remake | OTHER 3 OTHER: 1
remark | OTHER 3 OTHER: 1
remarks | OTHER 13 OTHER: 3
rematch | OTHER 1
remedies | OTHER 1 OTHER: 2
remedy | OTHER: 2
reminder | OTHER 7 OTHER: 1
reminders | OTHER 1
remission | OTHER 10 OTHER: 1
remnant | OTHER 1
remorse | OTHER 2
removal | OTHER 8 OTHER: 1
renaissance | OTHER 1
rendezvous | OTHER 1
rendition | OTHER: 1
renegade | OTHER 1
renewal | OTHER 4 OTHER: 2
renovation | OTHER 2
renters | PERSON 1
rents | OTHER: 1
reoccurring | OTHER 1
reorganization | OTHER 1
rep | OTHER 1
rep. | PERSON: 6
repackaging | OTHER: 1
repair | OTHER 3
repairs | OTHER 7 OTHER: 3
reparations | OTHER 1
repartee | OTHER 1
repayment | OTHER 3 OTHER: 1
repayments | OTHER 1
repeat | OTHER 3
repentance | OTHER 1
repercussion | OTHER 1
repercussions | OTHER 3
repetition | OTHER 2
replacement | PERSON 2 OTHER: 2
replacements | OTHER: 1
replays | OTHER 1
reply | OTHER 1
report | OTHER 143 OTHER: 26
reporter | PERSON 13 PERSON: 4 OTHER 180 OTHER: 74
reporters | PERSON 71 PERSON: 19 OTHER 3
reports | OTHER 135 OTHER: 42
representation | OTHER 7
representative | PERSON 7 PERSON: 8 OTHER 4 OTHER: 1
representatives | PERSON 22 PERSON: 9 OTHER 1 OTHER: 3
repression | OTHER 4 OTHER: 2
reprieve | OTHER 3
reprisals | OTHER 2
reproach | OTHER 2
reproduction | OTHER 1
reptiles | OTHER: 1
republic | ORGANIZATION 7 GPE:Nation 2 GPE:State-or-Province 1 GPE 23 OTHER 2
republican | ORGANIZATION:Other 1 PERSON 3
republicans | ORGANIZATION 9 ORGANIZATION:Other 3 PERSON 35 PERSON: 10 OTHER 2
republics | GPE 2
repurchase | OTHER 1
reputation | OTHER 13 OTHER: 4
reputations | OTHER 3
request | OTHER 31 OTHER: 9
requests | OTHER 11 OTHER: 9
requirement | OTHER 2 OTHER: 2
requirements | OTHER 4 OTHER: 1
rescheduling | OTHER 1
rescue | OTHER 5 OTHER: 1
rescuers | PERSON 4 ORGANIZATION 1
research | OTHER 30 OTHER: 5
researcher | PERSON 5 PERSON: 2
researchers | PERSON 25 PERSON: 14
researches | PERSON: 1
resemblance | OTHER: 1
resentment | OTHER 7
reservations | OTHER 4 OTHER: 2
reserve | OTHER 5 OTHER: 1
reservers | PERSON: 1
reserves | OTHER 10 OTHER: 1
reservoir | OTHER 1
reshuffle | OTHER: 1
residence | FACILITY:Building 7 FACILITY 6
resident | PERSON 7 PERSON: 1
residents | PERSON 35 PERSON: 9 GPE 10 GPE:Population-Center 1 OTHER: 1
residue | OTHER 2 OTHER: 1
resignation | OTHER 9 OTHER: 4
resignations | OTHER: 1
resistance | ORGANIZATION 1 OTHER 6
resisted | OTHER 1
resolution | OTHER 26 OTHER: 10
resolutions | OTHER 15 OTHER: 1
resolve | OTHER 8
resonated | OTHER 1
resort | GPE 1 FACILITY:Bounded-Area 1 FACILITY 5 OTHER 2 OTHER: 2
resorted | OTHER: 1
resorts | FACILITY 1 OTHER: 1
resource | OTHER 2
resources | OTHER 23 OTHER: 6
respect | OTHER 15 OTHER: 10
respectability | OTHER 1
respected | OTHER 2
respects | OTHER 8 OTHER: 1
respirations | OTHER 1
respite | OTHER 1
respondents | PERSON 1 PERSON: 2
response | OTHER 48 OTHER: 8
responses | OTHER 8 OTHER: 1
responsibilities | OTHER 6 OTHER: 2
responsibility | OTHER 32 OTHER: 4
responsibility. | OTHER 1
rest | PERSON 13 PERSON: 3 GPE 7 GPE:Other 1 LOCATION 10 LOCATION:Region-International 1 OTHER 18 OTHER: 9
restaurant | ORGANIZATION 18 FACILITY:Building 1 FACILITY 2 OTHER 2
restaurants | ORGANIZATION:Commercial 3 ORGANIZATION 18 FACILITY 2 OTHER 2 OTHER: 1
restaurateur | PERSON 1
restitution | OTHER 3
restoration | OTHER 5 OTHER: 1
restraint | OTHER 4 OTHER: 2
restraints | OTHER 1 OTHER: 1
restriction | OTHER 1
restrictions | OTHER 12 OTHER: 2
restrictiveness | OTHER 1
rests | OTHER 1
result | OTHER 41 OTHER: 13
results | OTHER 37 OTHER: 31
resumption | OTHER 7 OTHER: 1
resurgence | OTHER 4
retail | OTHER 1
retailer | ORGANIZATION:Commercial 1
retailers | PERSON 2 PERSON: 1 ORGANIZATION:Commercial 2 ORGANIZATION 4 OTHER: 1
retakes | OTHER: 1
retaliation | OTHER 5 OTHER: 1
retinue | PERSON: 1
retiree | PERSON: 1
retirees | PERSON 2
retirement | OTHER 5 OTHER: 6
retreat | FACILITY 1 OTHER 2 OTHER: 1
retrieved | OTHER: 1
retrospective | OTHER 1
return | OTHER 38 OTHER: 16
returns | OTHER 15 OTHER: 9
reunification | OTHER 6 OTHER: 1
reunion | OTHER 1
reunions | OTHER: 4
rev. | PERSON: 1
revamped | OTHER 1
revelation | OTHER 4
revelations | OTHER 3
reveled | OTHER: 1
revelry | OTHER: 1
revenge | OTHER 1 OTHER: 1
revenue | OTHER 26 OTHER: 5
revenues | OTHER 12 OTHER: 10
reversal | OTHER 2 OTHER: 2
reversals | OTHER: 2
reverse | OTHER 1
review | OTHER 16 OTHER: 5
reviewer | PERSON 1
reviews | OTHER 3
revise.. | OTHER 1
revised | OTHER 1 OTHER: 1
revision | OTHER 1
revisions | OTHER 2
revival | OTHER 2
revivals | OTHER 1
revolt | OTHER: 1
revolution | OTHER 9 OTHER: 3
revolutions | OTHER 1
reward | OTHER 3
rewards | OTHER 2
rewind | OTHER: 1
rhetoric | OTHER 4 OTHER: 4
rheumatism | OTHER 1
rheumatologist | PERSON 1
rhythm | OTHER 1
rhythms | OTHER: 1
ribbon | OTHER 1 OTHER: 1
rice | PERSON: 1 OTHER 4
ricer | OTHER 12
ricers | OTHER 1
rich | PERSON 2 OTHER 1
riches | OTHER 3
ride | OTHER 10
rider | PERSON 3 OTHER 2
riders | PERSON 5 PERSON: 1
rides | OTHER 1
ridge | PERSON: 1 LOCATION 1 OTHER 1
riffing | OTHER 1
riffmasters | ORGANIZATION 1
riffs | OTHER 2
rifle | OTHER 14
rifles | WEA:Shooting 1 OTHER 3
rifts | OTHER: 1
rig | OTHER 2
riggs | OTHER 1
right | PERSON 7 PERSON: 1 ORGANIZATION 1 ORGANIZATION:Other 1 OTHER 61 OTHER: 20
right-hander | OTHER: 1
right. | OTHER 1
rightist | PERSON 2
rightists | PERSON 1
rights | OTHER 62 OTHER: 20
rigid | OTHER 1
rigors | OTHER 1
rigs | OTHER: 1
ring | ORGANIZATION 9 LOCATION 1 OTHER 4 OTHER: 1
ringed | OTHER 2
ringgit | OTHER 1
ringing | OTHER 1
ringleader | PERSON 1
rings | ORGANIZATION 1 OTHER 4
rink | FACILITY:Building 1
riot | OTHER 2 OTHER: 1
rioters | PERSON 2
riots | OTHER 5
rip-off | OTHER 2
ripple | OTHER 1
rips | OTHER 1
rise | OTHER 21 OTHER: 3
rises | OTHER 2
risk | OTHER 43 OTHER: 20
risks | OTHER 16 OTHER: 1
risotto | OTHER 1
ritual | OTHER 3
rival | ORGANIZATION:Commercial 2 ORGANIZATION 4 PERSON 4 PERSON: 1 GPE 1
rivalries | OTHER 1
rivalry | OTHER 2 OTHER: 1
rivals | PERSON 3 PERSON: 1 ORGANIZATION:Commercial 4 ORGANIZATION 6 ORGANIZATION:Other 2 GPE 1 OTHER 2
river | LOCATION 6 OTHER 3
riverbank | LOCATION 1
rivers | LOCATION 6
rm3.00 | OTHER 1
rm3.20 | OTHER 1
rm3.50 | OTHER 1
rm3.60 | OTHER 2
rm3.70 | OTHER 1
rm3.723 | OTHER 1
rm3.885 | OTHER 1
rm4.00 | OTHER 1
road | FACILITY:Path 4 FACILITY 12 FACILITY:Barrier 1 OTHER 14 OTHER: 4
roadblocks | FACILITY:Barrier 1
roads | FACILITY:Path 4 FACILITY 13 OTHER 2
roar | OTHER 3
roared | OTHER 2
robberies | OTHER 2
robbers | PERSON 2
robbery | OTHER 8
robe | OTHER 1
robots | OTHER: 1
rock | OTHER 9 OTHER: 3
rocket | OTHER 9
rockets | WEA:Exploding 1 OTHER 2
rocks | LOCATION 1 OTHER 5
rod | WEA:Blunt 1 OTHER 2
rodents | OTHER 1 OTHER: 1
rodeo | OTHER 4
rodeos | OTHER 1
rods | OTHER 3
role | ORGANIZATION 1 OTHER 71 OTHER: 18
roles | OTHER 5 OTHER: 1
roll | OTHER 3 OTHER: 3
roll-call | OTHER 1
rollover | OTHER 2
rolls | OTHER 2
romance | OTHER 2
romances | OTHER 1
ron | PERSON 1
roo | OTHER 1
roof | FACILITY:Subarea-Building 1 OTHER 9
roofs | OTHER 1
rooftops | FACILITY:Subarea-Building 1
rookies | PERSON 1
room | FACILITY 25 FACILITY:Subarea-Building 8 OTHER 23 OTHER: 2
roommate | PERSON 1
roommates | PERSON 1
rooms | PERSON: 1 FACILITY 15 FACILITY:Subarea-Building 3 OTHER 13
roomy | OTHER 1
roots | OTHER 5 OTHER: 1
rope | OTHER 1 OTHER: 2
ropes | OTHER 3
roses | OTHER 1
roster | ORGANIZATION 1 OTHER 2 OTHER: 1
rosters | OTHER 1
rotation | OTHER 2 OTHER: 2
roties | OTHER: 1
rotors | OTHER: 2
round | OTHER 44 OTHER: 6
rounds | OTHER 13 OTHER: 1
roundtable | OTHER 1
roundups | OTHER 1
route | GPE 3 FACILITY:Path 1 FACILITY 1 OTHER 8 OTHER: 5
routes | FACILITY:Path 1 OTHER 2 OTHER: 3
routine | OTHER 4
row | OTHER 11 OTHER: 4
rower | PERSON 1
royals | PERSON 1
royalties | OTHER 1 OTHER: 1
royalty | OTHER: 1
rubber | OTHER 6
rubbish | OTHER: 1
rubble | OTHER 7
rubies | OTHER 1
ruble | OTHER 11
rubles | OTHER 9
rugby | OTHER 2
ruin | OTHER: 1
ruins | LOCATION 1 OTHER 5
rule | OTHER 37 OTHER: 9
ruler | PERSON 2 GPE 2
rulers | PERSON 1
rules | OTHER 55 OTHER: 10
ruling | OTHER 30 OTHER: 13
rulings | OTHER 5 OTHER: 1
rumors | OTHER 5 OTHER: 4
run | FACILITY 2 OTHER 18 OTHER: 6
run-of-the-mill | OTHER: 1
runner | PERSON 2
runners | PERSON 1
running | OTHER 2
runoff | OTHER: 2
runs | OTHER 6 OTHER: 3
runway | FACILITY:Path 12 FACILITY 3 OTHER 2 OTHER: 1
runways | FACILITY:Path 1
rupiah | OTHER 14
rupiahs | OTHER 2
rush | ORGANIZATION 1 OTHER 4 OTHER: 2
s | OTHER 2 OTHER: 1
s. | OTHER 1
sabbatical | OTHER 1
sabotage | OTHER 1 OTHER: 1
sacks | OTHER 1
sacred | OTHER 1
sacrifice | OTHER: 1
sacrifices | OTHER 2 OTHER: 1
safe | OTHER: 1
safeguards | OTHER 3
safeness | OTHER 1
safety | OTHER 17 OTHER: 2
saga | OTHER: 1
sage | OTHER: 1
said. | OTHER 1
said. .. | OTHER 1
sail | OTHER 1
sailing | OTHER 1
sailor | PERSON 9
sailors | PERSON 80 PERSON: 1
sails | OTHER 1
saints | OTHER 1
sake | OTHER 3
salad | OTHER 1
salaries | OTHER 4 OTHER: 2
salary | OTHER 13 OTHER: 5
sale | OTHER 29 OTHER: 11
sales | OTHER 52 OTHER: 17
salesman | OTHER: 1
salesmanship | OTHER 2
salesperson | PERSON 3
saliva | OTHER 1
salt | OTHER 1
salt. 1 | OTHER: 1
salutations | OTHER 1
salute | OTHER 1
salvation | OTHER 1
samaritans | PERSON 1 OTHER 1
same | OTHER 16 OTHER: 6
sample | PERSON 2 OTHER 4 OTHER: 1
sampleling | OTHER: 1
samples | OTHER 4
sanctions | OTHER 24 OTHER: 9
sanctuary | GPE 1 OTHER 1
sand | OTHER 1
sandals | OTHER 2
sandbags | OTHER 1
sanitation | OTHER: 1
santa | OTHER 1
sarin | WEA:Chemical 3
sat | OTHER 1
satellite | OTHER 17
satellites | OTHER 5
satin | OTHER 1
satisfaction | OTHER 6 OTHER: 1
saturday | OTHER 2 OTHER: 2
sauce | OTHER 3
sausage | OTHER 2
sausages | OTHER 2
sausages. | OTHER 1
saute | OTHER: 1
savages | OTHER: 1
savers | OTHER 1
saves | OTHER 1
saving | OTHER 1
savings | OTHER 11 OTHER: 1
savior | PERSON 1
savory | OTHER: 1
say | OTHER: 1
saying | OTHER 2
saying.. | OTHER 1
sayonara | OTHER 2
sc | OTHER 1
scale | OTHER 16 OTHER: 5
scales | OTHER: 5
scallions | OTHER: 1
scalpers | PERSON 2
scam | OTHER 2
scams | OTHER 1
scandal | OTHER 19 OTHER: 2
scandals | OTHER 5 OTHER: 1
scanner | OTHER 1
scanners | OTHER 1 OTHER: 1
scape | OTHER 1
scapegoat | PERSON 1
scar | OTHER 1
scare | OTHER 1
scarf | OTHER 1
scarlet | OTHER 1
scars | OTHER 1
scarves | OTHER 2
scenario | OTHER 12 OTHER: 1
scenarios | OTHER 1
scene | GPE 2 FACILITY 4 LOCATION 5 OTHER 39 OTHER: 3
scenery | OTHER 1
scenes | OTHER 4 OTHER: 3
schedule | OTHER 25 OTHER: 14
scheduled | OTHER 1
schedules | OTHER 3 OTHER: 1
scheme | OTHER 13 OTHER: 1
schemes | OTHER 4 OTHER: 1
schnitzel | OTHER 1
scholar | PERSON 4
scholarly | OTHER 2
scholars | PERSON 9
scholarship | OTHER 2
scholarships | OTHER 3
school | ORGANIZATION:Commercial 1 ORGANIZATION 30 ORGANIZATION:Educational 10 FACILITY:Building 1 FACILITY:Bounded-Area 1 FACILITY 8 OTHER 8 OTHER: 5
schoolchildren | PERSON 1
schoolgirls | PERSON 1
schoolhouse | FACILITY 1
schools | ORGANIZATION 21 ORGANIZATION:Educational 14 FACILITY:Building 2 FACILITY 5 OTHER 1
schtick | OTHER: 1
science | OTHER 8 OTHER: 6
sciences | OTHER 2
scientist | PERSON 9
scientists | PERSON 14 PERSON: 16 OTHER 1 OTHER: 1
scion | PERSON 1
sclerosis | OTHER 4
scoff | OTHER 1
scoffed | OTHER 1
scoop | OTHER 1
scooter | VEH:Land 2
scooters | VEH:Land 1
scope | OTHER 9 OTHER: 1
score | OTHER 9 OTHER: 6
scoreboard | OTHER 1 OTHER: 1
scorecards | OTHER 1
scored | OTHER 1
scorer | PERSON 1
scorers | PERSON 1
scores | PERSON 7 OTHER 18 OTHER: 9
scorn | OTHER 1
scoundrels | OTHER 1
scout | PERSON 2
scouts | PERSON 1
scrambles | OTHER 1
scrap | OTHER 1
scrapes | OTHER 1
scraps | OTHER 1 OTHER: 1
scratch | PERSON 1
screamer | OTHER 1
screen | OTHER 9 OTHER: 4
screenplay | OTHER: 1
screens | OTHER 2 OTHER: 1
scrimmage | OTHER 1
scrimmages | OTHER 1
script | OTHER 4
scripture | OTHER 1
scrutiny | OTHER 10
sculptor | PERSON 1
sculptors | PERSON 1
sculpture | OTHER 3
sculptures | OTHER 1
sea | PERSON 2 LOCATION 4 LOCATION:Water-Body 2 OTHER 19 OTHER: 2
seabed | LOCATION 2
seacoasts | LOCATION:Land-Region-Natural 1
seafarers | GPE 1
seal | OTHER 1
seaman | PERSON 4
seamen | PERSON 9 OTHER 1
seams | OTHER 1
seaport | GPE 1
search | OTHER 29 OTHER: 3
searches | OTHER 2 OTHER: 1
seared | OTHER 1
seas | LOCATION 1 LOCATION:Water-Body 1 OTHER 4
season | OTHER 79 OTHER: 39
seasons | OTHER 8 OTHER: 6
seat | OTHER 23 OTHER: 11
seats | OTHER 36 OTHER: 13
second | ORGANIZATION:Commercial 1 PERSON 4 OTHER 22 OTHER: 2
seconds | OTHER 18 OTHER: 1
secrecy | OTHER 4 OTHER: 1
secret | OTHER 10 OTHER: 6
secretariat | ORGANIZATION 1
secretaries | PERSON 3
secretary | PERSON 41 PERSON: 7 OTHER 19
secretary general | PERSON: 6 OTHER: 1
secretary of state | PERSON: 8
secretary-general | PERSON: 2
secrets | OTHER 15 OTHER: 2
sect | PERSON: 1
section | ORGANIZATION 2 ORGANIZATION:Other 1 PERSON 2 GPE 1 FACILITY 1 LOCATION:Region-Local 1 LOCATION 10 OTHER 12 OTHER: 3
sections | LOCATION:Region-Subnational 2 LOCATION 3 OTHER 3 OTHER: 1
sector | PERSON 1 ORGANIZATION:Commercial 6 ORGANIZATION 8 OTHER 12 OTHER: 3
sectors | ORGANIZATION:Commercial 1 ORGANIZATION 2 OTHER 6 OTHER: 2
secure | OTHER 1 OTHER: 1
securities | OTHER 2 OTHER: 1
security | PERSON 1 ORGANIZATION 2 OTHER 70 OTHER: 24
sedan | OTHER 5
sedans | OTHER 2
seder | OTHER 5
seders | OTHER 1
seed | OTHER 2
seeker | OTHER: 1
seekers | PERSON 1
seepage | OTHER 1
segment | ORGANIZATION:Commercial 1 PERSON 1 OTHER 5 OTHER: 1
segregation | OTHER: 1
seizure | OTHER 1
seizures | OTHER: 1
selection | PERSON 1 OTHER 4 OTHER: 1
selections | PERSON 1 PERSON: 2 OTHER 3
self | OTHER: 1
self-employed | PERSON 1
self-esteem | OTHER 1
self-interest | OTHER 1
self-pity | OTHER 1
self-reliance | OTHER 1
self-rule | OTHER 1
sell | OTHER 2 OTHER: 1
seller | PERSON 2 OTHER 1
sellers | ORGANIZATION 1 PERSON 3 OTHER: 1
selling | OTHER 2 OTHER: 1
sellout | OTHER: 1
selves | PERSON 1
semantics | OTHER: 1
semblance | OTHER 1
sembly | OTHER 1
semiconductor | OTHER 2
semifinals | OTHER 3
seminar | OTHER 5 OTHER: 1
seminaries | ORGANIZATION 1
semitism | OTHER 3
sen | OTHER 1
sen. | PERSON: 7
senator | PERSON 8 PERSON: 11
senators | PERSON 21 PERSON: 1
senders | PERSON 1
senior | PERSON 1 OTHER 1
seniority | OTHER 1
seniors | PERSON 1 PERSON: 3
sensation | OTHER 2 OTHER: 1
sense | OTHER 44 OTHER: 19
senses | OTHER 2
sensibilities | OTHER 1
sensitivity | OTHER: 1
sensor | OTHER 1
sensors | OTHER 2
sentence | OTHER 28 OTHER: 2
sentences | OTHER 11
sentiment | OTHER 4 OTHER: 1
sentiments | OTHER 2 OTHER: 3
sentry | PERSON 1
separates | OTHER 1
separation | OTHER 3 OTHER: 2
separations | OTHER: 1
separatists | PERSON 1 PERSON: 1 ORGANIZATION 2
sept. | OTHER 11 OTHER: 2
september | OTHER 25 OTHER: 18
sequels | OTHER: 1
sequence | OTHER 2
sequestered | OTHER 1
sequins | OTHER 2
serbs | PERSON 1
serenades | OTHER: 1
sergeant | PERSON 2
serial | OTHER: 1
series | ORGANIZATION 1 OTHER 57 OTHER: 20
seriousness | OTHER 1
sermons | OTHER 2
servant | PERSON 1 OTHER 1
servants | PERSON 1
serve | OTHER 2
servers | OTHER 1
service | ORGANIZATION:Government 2 ORGANIZATION 17 OTHER 81 OTHER: 18
servicemen | PERSON 5
services | ORGANIZATION:Government 1 ORGANIZATION 13 OTHER 57 OTHER: 21
servings | OTHER: 2
ses | OTHER 1
sesame | OTHER 1
session | OTHER 30 OTHER: 12
sessions | OTHER 4 OTHER: 2
set | PERSON 2 GPE:County-or-District 1 FACILITY 1 OTHER 11 OTHER: 3
setback | OTHER 4 OTHER: 3
setbacks | OTHER 1
sets | OTHER 7
setting | OTHER 3 OTHER: 3
settings | OTHER: 2
settlement | GPE 3 GPE:Population-Center 4 OTHER 26 OTHER: 8
settlements | GPE:Population-Center 1 OTHER 1
settlers | PERSON 4 PERSON: 2
seven | PERSON 2 OTHER 8
seven hundred | OTHER 1
seven six | OTHER 1
seven times. | OTHER 1
sevens | OTHER 1
seventeen | OTHER 1
seventies | OTHER 2
seventy nine sixty nine | OTHER 1
seventy-five million | OTHER 1
seventy-nine | OTHER 1
seventy-six | OTHER 1
several | PERSON 6 GPE 1 OTHER 9 OTHER: 2
several billion yuan. | OTHER: 1
several hundred | OTHER 1
severity | OTHER 4 OTHER: 1
sex | PERSON 1 OTHER 18 OTHER: 2
sexes | PERSON: 1 OTHER 4
sf | OTHER 1
sgt. | PERSON: 1
shackles | OTHER 2
shade | OTHER 1
shadow | PERSON 1 OTHER 11 OTHER: 4
shake | OTHER 3 OTHER: 1
shakers | PERSON 1
shallow | OTHER 1
sham | OTHER: 2
shame | OTHER 6 OTHER: 4
shape | OTHER 6 OTHER: 1
shapes | OTHER 4
share | OTHER 79 OTHER: 17
shareholder | ORGANIZATION:Commercial 1 ORGANIZATION 1 PERSON 2 PERSON: 2 OTHER 2
shareholders | ORGANIZATION 1 PERSON 31 PERSON: 6
shares | OTHER 53 OTHER: 21
shark | OTHER 1
shattered | OTHER 3
shearer | PERSON: 1
shed | FACILITY 1
sheep | GPE:Other 1 OTHER 1 OTHER: 14
sheeps | OTHER: 1
sheet | OTHER 5
sheiks | PERSON: 1
shelf | OTHER 1 OTHER: 2
shell | WEA:Exploding 1
shells | OTHER 4 OTHER: 1
shelter | FACILITY:Building 1 FACILITY 1 OTHER 3 OTHER: 3
shelters | FACILITY:Building 1 FACILITY 2
shelves | OTHER 2 OTHER: 1
shepherd | OTHER 1
shepherds | PERSON: 1
sheppard | OTHER 4
sheriff | PERSON 3 PERSON: 1
sherry | OTHER 1
shield | OTHER 3 OTHER: 1
shields | OTHER 2 OTHER: 1
shift | OTHER 10 OTHER: 5
shifter | OTHER 1
shifts | OTHER 4
shiitakes | OTHER: 2
shill | PERSON 1
ship | VEH:Water 3 OTHER 68
shipmates | PERSON 4
shipment | OTHER 1 OTHER: 1
shipments | OTHER: 1
shippers | ORGANIZATION 1 PERSON 1
shipping | ORGANIZATION 1 OTHER 5
ships | VEH:Water 3 OTHER 24
shirt | OTHER 1 OTHER: 1
shirted | OTHER 1
shirts | OTHER 4
shiver | OTHER: 1
shock | OTHER 13
shocker | OTHER 1
shocks | OTHER 1
shoes | OTHER 5 OTHER: 1
shooter | PERSON 1
shooters | PERSON 1
shooting | OTHER 11 OTHER: 3
shootings | OTHER 2
shootout | OTHER 1
shoots | OTHER: 1
shop | ORGANIZATION:Commercial 1 ORGANIZATION 2 FACILITY:Building 2 FACILITY 3 OTHER 2
shopkeeper | PERSON 2
shopkeepers | PERSON 1
shopper | PERSON 2 PERSON: 1
shoppers | PERSON 9 PERSON: 1
shopping | OTHER 6 OTHER: 3
shops | ORGANIZATION 10 FACILITY 2
shore | LOCATION 2 OTHER 1 OTHER: 1
shores | LOCATION 1
short-term | OTHER: 1
shortage | OTHER 10 OTHER: 1
shortages | OTHER 8 OTHER: 1
shortcomings | OTHER: 1
shorts | OTHER 1
shortstop | PERSON: 2
shot | OTHER 10 OTHER: 3
shotgun | OTHER 2
shotguns | WEA:Shooting 2
shots | PERSON 1 OTHER 13 OTHER: 2
shoulder | OTHER 5 OTHER: 2
shouts | OTHER 1 OTHER: 1
shove | OTHER 2
shovels | OTHER 1 OTHER: 1
show | OTHER 40 OTHER: 17
showcase | OTHER 1
showdown | OTHER 5
shower | OTHER 1
showers | OTHER 8 OTHER: 6
showing | OTHER 2
showings | OTHER 1 OTHER: 1
showmanship | OTHER 1
showroom | FACILITY 2
shows | OTHER 18 OTHER: 5
shreds | OTHER 1
shrimp | OTHER 1
shrine | FACILITY 2
shrink | PERSON 1
shuffle | OTHER: 1
shutdown | OTHER: 1
shuttle | OTHER 7
shuttles | OTHER 5
si | OTHER 1
side | PERSON 5 PERSON: 1 ORGANIZATION:Government 1 ORGANIZATION 6 ORGANIZATION:Other 1 GPE:Nation 5 GPE 2 GPE:Other 1 OTHER 27 OTHER: 12
sided | OTHER: 1
