! | OTHER 9 OTHER: 17
!! | OTHER: 3
!. | OTHER: 1
$ | OTHER: 2
substances | OTHER: 1
substantiation | OTHER 1
substantive | OTHER 1
substate | GPE 1
substations | FACILITY:Building-Grounds 1
substitute | OTHER 2
substitutes | OTHER 2
subtext | OTHER 1
subtle | OTHER 1
subtlety | OTHER 2
subtraction | OTHER 1
suburb | GPE 4 LOCATION 2
suburbanites | PERSON 1
suburbs | GPE 4 GPE:Population-Center 1 LOCATION:Region-General 7 LOCATION 2
subway | VEH 1 VEH:Land 1 FACILITY 2 OTHER 2
subways | OTHER 3
success | OTHER 52 OTHER: 19
successes | OTHER 1 OTHER: 2
successful | OTHER 2 OTHER: 2
succession | OTHER 1 OTHER: 1
successor | ORGANIZATION 1 PERSON:Individual 2 PERSON 7 OTHER 1
successors | PERSON 2 PERSON:Group 3
such | OTHER 81 OTHER: 24
suck | OTHER: 2
suction | OTHER: 1
sudden | OTHER 3 OTHER: 4
suede | OTHER 1
sufferer | PERSON 1
suffering | OTHER 5 OTHER: 4
suffocation | OTHER 1
sugar | OTHER 7
suggestion | OTHER 9 OTHER: 2
suggestions | OTHER 13 OTHER: 7
suicide | OTHER 7 OTHER: 37
suit | OTHER 33 OTHER: 10
suitability | OTHER: 1
suitcase | OTHER 3
suitcases | OTHER 1
suite | OTHER 1
suitor | ORGANIZATION 1
suits | OTHER 13 OTHER: 9
sulfur | OTHER 4
sulks | OTHER 1
sultanate | GPE 1
sum | OTHER 11 OTHER: 6
summary | OTHER 4 OTHER: 2
summer | OTHER 46 OTHER: 12
summers | OTHER 3
summit | LOCATION:Land-Region-Natural 2 LOCATION 1 OTHER 56 OTHER: 25
summits | OTHER 1
sumptionandwyland.com | OTHER: 1
sums | OTHER 6 OTHER: 3
sun | PERSON:Individual 2 ORGANIZATION 1 LOCATION 2 LOCATION:Celestial 1 OTHER 8 OTHER: 42
sundaes | OTHER: 1
sunday | OTHER 47 OTHER: 53
sundays | OTHER 1
sundays. | OTHER 1
sunglasses | OTHER 1
sunlight | OTHER 1
sunni | PERSON:Group 2
sunnis | PERSON:Group 1
sunrise | OTHER 2
sunset | OTHER 1
sunshine | OTHER 2
sunup | OTHER 1
sup | PERSON 1 OTHER: 1
super | OTHER 2
superb | OTHER 1 OTHER: 1
superhighway | OTHER 1
superintendent | PERSON 3 OTHER: 1
superior | PERSON 1 OTHER: 1
superiority | OTHER 2
superiors | PERSON 1
supermarket | ORGANIZATION 1 FACILITY:Building-Grounds 1 OTHER 1
supermarkets | FACILITY 1
superpower | GPE:Nation 1 GPE 5
superpowers | GPE 1
superstar | PERSON 1 OTHER 3
superstition | OTHER: 1
superstitions | OTHER: 2
supervision | OTHER 3 OTHER: 3
supervisor | PERSON:Individual 2 PERSON 10
supervisors | PERSON 3
supplements | OTHER 2
supplier | GPE:Nation 1 GPE 2 OTHER 1
suppliers | PERSON 2 ORGANIZATION:Commercial 1 ORGANIZATION 13 GPE:Nation 2 OTHER 1
supplies | OTHER 17 OTHER: 12
supply | OTHER 13 OTHER: 10
suppo | OTHER: 1
support | VEH:Air 1 PERSON 1 OTHER 159 OTHER: 48
supporter | PERSON:Individual 2 PERSON 5 GPE 1
supporters | PERSON 56 PERSON:Group 4 OTHER 1 OTHER: 1
supposed | OTHER: 1
supposition | OTHER: 1
suppression | OTHER 1 OTHER: 2
supremacy | OTHER 4 OTHER: 1
supsension | OTHER 1
surcharge | OTHER 1
surface | LOCATION:Land-Region-Natural 4 LOCATION 6 OTHER 14 OTHER: 9
surfaced | OTHER: 1
surfing | OTHER 1
surge | PERSON 1 OTHER 10 OTHER: 2
surgeon | PERSON 1
surgeons | PERSON 2 OTHER 1
surgeries | OTHER: 1
surgery | OTHER 24 OTHER: 12
surges | OTHER 1
surnames | OTHER 1
surplus | OTHER 17 OTHER: 4
surpluses | OTHER 4
surprise | OTHER 19 OTHER: 9
surprise. | OTHER 1
surprises | OTHER 3 OTHER: 1
surreal | OTHER 1
surrender | OTHER: 3
surrendered | OTHER: 1
surrenders | OTHER 1
surrogates | PERSON 4
surroundings | OTHER 1 OTHER: 1
surve | OTHER 1
surveillance | OTHER 4 OTHER: 1
survey | OTHER 31 OTHER: 4
surveyed | OTHER 3
surveyer | VEH:Air 1
surveys | OTHER 7 OTHER: 1
survival | OTHER 13 OTHER: 3
survivor | PERSON 7 OTHER 9
survivors | PERSON 19 PERSON:Group 6
susceptibility | OTHER 1
sushi | OTHER 1
suspect | ORGANIZATION 1 PERSON:Individual 8 PERSON 13 OTHER: 1
suspected | OTHER 1 OTHER: 1
suspects | PERSON 26 OTHER 1 OTHER: 1
suspense | OTHER 2
suspension | OTHER 10 OTHER: 7
suspicion | OTHER 12 OTHER: 4
suspicions | OTHER 3 OTHER: 2
suspicious | PERSON:Group 1
sustainability | OTHER: 2
sv | OTHER: 1
swagger | OTHER 1
swami | PERSON 1
swamp | LOCATION 1
swamplands | LOCATION 1
swap | OTHER 2
swarm | OTHER 1
swarms | OTHER 1
swashbuckler | PERSON 1
swath | GPE 1 LOCATION 1 OTHER 1
swaths | OTHER 2
sway | OTHER: 2
swearing | OTHER 1
sweater | OTHER 4
sweaters | OTHER 5 OTHER: 1
swede | PERSON 1 OTHER 1
sweep | OTHER 4 OTHER: 2
sweeps | OTHER 1 OTHER: 1
sweetheart | PERSON:Individual 2
sweetness | OTHER 1
sweets | OTHER: 1
swell | OTHER 1
swelled | OTHER 1
swim | OTHER: 1
swimmer | PERSON:Individual 1
swimmers | PERSON:Group 1
swimming | OTHER 2 OTHER: 1
swindles | OTHER 3
swing | GPE:State-or-Province 1 OTHER 7 OTHER: 1
swings | OTHER 1
swipe | OTHER 1
switch | OTHER 4
switches | OTHER 2
swollen | OTHER 1 OTHER: 1
symbol | VEH:Water 1 ORGANIZATION 1 PERSON 1 OTHER 7
symbolism | OTHER 2 OTHER: 2
symbols | ORGANIZATION 1 OTHER 11 OTHER: 1
symmetry | OTHER 1
sympathies | OTHER 1 OTHER: 1
sympathizers | PERSON:Group 4
sympathy | OTHER 7 OTHER: 3
symphonic | OTHER 1
symptom | OTHER 2
symptoms | OTHER 6 OTHER: 3
synagogues | ORGANIZATION 1
sync | OTHER 1
syndicates | ORGANIZATION 4
syndrome | OTHER 7 OTHER: 4
synonyms | OTHER 1
syntax | OTHER 1
synthesis | OTHER: 1
syria | GPE:Nation 2
syria...this all | GPE:Nation 1
syringes | OTHER 1
syrup | OTHER 3
system | ORGANIZATION:Government 2 ORGANIZATION 11 GPE 4 FACILITY:Path 1 FACILITY 3 LOCATION 3 OTHER 140 OTHER: 33
systems | ORGANIZATION 2 FACILITY:Path 1 FACILITY 4 WEA:Exploding 1 WEA:Underspecified 1 OTHER 41 OTHER: 13
sze | OTHER: 1
t | OTHER 12 OTHER: 14
t.. | OTHER: 1
ta | OTHER 1
tab | OTHER 1 OTHER: 1
table | OTHER 41 OTHER: 12
tableau | OTHER 1
tables | OTHER 6
tablespoons | OTHER 3
tablet | OTHER 1
tablets | OTHER 1 OTHER: 1
tabloid | ORGANIZATION:Media 1
tabloids | ORGANIZATION 2
taboo | OTHER 1
tabs | OTHER: 1
tabulation | OTHER 1 OTHER: 1
tabulator | OTHER 1
tack | OTHER 3
tackle | OTHER 1
tacks | OTHER: 1
tact | OTHER: 2
tactic | OTHER 3 OTHER: 4
tactician | PERSON 1
tactics | OTHER 9 OTHER: 6
tag | OTHER 7
tags | OTHER 1
tail | OTHER 4 OTHER: 2
tails | OTHER 1
tailspin | OTHER 1
take | OTHER 2 OTHER: 2
takedowns | OTHER: 1
taken. | OTHER: 1
takeoff | OTHER 1
takeoffs | OTHER 1
takeover | OTHER 11 OTHER: 2
takeovers | OTHER 2
taker | PERSON 1
takers | PERSON 1
takes | OTHER: 2
taking | OTHER: 2
tale | OTHER 11 OTHER: 6
talent | PERSON:Individual 1 OTHER 10 OTHER: 3
talents | OTHER 1 OTHER: 1
tales | OTHER 3 OTHER: 2
talians | OTHER: 1
taliban | ORGANIZATION:Government 1
talk | OTHER 39 OTHER: 29
talked | OTHER: 1
talker | PERSON:Individual 1 PERSON 1
talks | OTHER 182 OTHER: 68
talks. . . | OTHER 1
tallahassee | GPE 1
tallies | OTHER 2
tally | OTHER 9
talons | OTHER 1
tammy | PERSON:Individual 1 OTHER 1
tan | OTHER: 1
tandem | OTHER: 1
tangle | OTHER 2
tangles | OTHER 1
tank | VEH:Land 8 ORGANIZATION:Non-Governmental 1 ORGANIZATION 1 FACILITY 1 OTHER 8 OTHER: 4
tanked | OTHER: 1
tanker | VEH 2 OTHER 1 OTHER: 1
tankers | VEH:Underspecified 1 VEH 2
tanks | VEH 3 VEH:Land 32 WEA 1 OTHER 8 OTHER: 1
tannery | ORGANIZATION 1
tao | PERSON 1
tap | OTHER 1
tape | OTHER 11 OTHER: 14
tape.. | OTHER: 1
tape.as | OTHER: 1
tapes | OTHER 10 OTHER: 1
taps | OTHER 1
tarawa | OTHER 1
target | ORGANIZATION:Commercial 4 PERSON:Individual 1 PERSON 5 GPE 2 GPE:Population-Center 1 FACILITY:Building-Grounds 1 FACILITY:Airport 1 FACILITY 2 OTHER 14 OTHER: 9
targets | VEH:Air 2 PERSON 4 PERSON:Group 2 FACILITY 5 LOCATION:Region-General 1 LOCATION 3 OTHER 9 OTHER: 7
tariff | OTHER: 2
tariffs | OTHER 1
tarmac | FACILITY:Subarea-Facility 2 OTHER: 1
tarnish | OTHER: 1
tart | OTHER 1
tartans | OTHER 1
task | PERSON:Group 1 OTHER 19 OTHER: 17
tasks | OTHER 6
taste | OTHER 5 OTHER: 5
tastes | OTHER 5
tat | OTHER: 1
tatters | OTHER 1
tattoo | OTHER 2
tattoos | OTHER 1 OTHER: 1
taurus | VEH:Land 1
tawdriness | OTHER 1
tax | OTHER 26 OTHER: 27
taxation | OTHER 1 OTHER: 2
taxers | OTHER: 1
taxes | OTHER 26 OTHER: 16
taxi | VEH 1 VEH:Land 2
taxicab | VEH:Land 1
taxis | OTHER 1
taxiway | FACILITY 2
taxpayer | ORGANIZATION 1 PERSON 1 GPE 1
taxpayers | PERSON 3 PERSON:Group 3 GPE 2
tb | OTHER 1 OTHER: 1
te | OTHER 1
tea | OTHER 4
teacher | PERSON:Individual 20 PERSON 12 PERSON:Group 1
teachers | PERSON 16 PERSON:Group 8
teaching | OTHER 2 OTHER: 4
team | ORGANIZATION:Medical-Science 1 ORGANIZATION:Non-Governmental 1 ORGANIZATION:Commercial 1 ORGANIZATION:Sports 33 ORGANIZATION 149 PERSON 93 PERSON:Group 25 OTHER 5
teammate | PERSON 5
teammates | PERSON 8 PERSON:Group 2
teams | PERSON 22 PERSON:Group 9 ORGANIZATION:Sports 19 ORGANIZATION 36 OTHER 4
teapot | OTHER: 1
tear | OTHER 4
teargas | WEA 1
tears | OTHER 5 OTHER: 4
teas | OTHER 1
teaspoon | OTHER 1
tech | OTHER 4 OTHER: 4
technicality | OTHER 1 OTHER: 1
technician | PERSON:Individual 1 PERSON 1
technicians | PERSON 3 PERSON:Group 1
technique | OTHER 4 OTHER: 2
techniques | OTHER 2 OTHER: 5
techno | OTHER 1
technoethics | OTHER 3
technologies | OTHER 8 OTHER: 2
technology | ORGANIZATION 1 OTHER 87 OTHER: 22
techs | ORGANIZATION:Commercial 1 OTHER 1
tee | OTHER: 2
teen | PERSON 7 OTHER: 1
teenager | PERSON:Individual 1 PERSON 4
teenagers | PERSON 5 PERSON:Group 1
teens | PERSON 3 OTHER 1
teeth | OTHER 2 OTHER: 3
tefbs | OTHER 1
telecommunication | OTHER 2
telecommunications | ORGANIZATION 1 OTHER 6 OTHER: 3
telecommunicatons | OTHER 1
teleconference | OTHER 2
teleconferencing | OTHER 1
telegraphy | OTHER 1
telephone | OTHER 43 OTHER: 9
telephones | OTHER 3 OTHER: 2
telescope | OTHER 2
television | ORGANIZATION 13 ORGANIZATION:Media 4 OTHER 64 OTHER: 29
televisions | OTHER 1
teller | PERSON 1
telltale | OTHER: 1
temerity | OTHER 1
temp | OTHER: 1
temper | OTHER 2 OTHER: 1
temperament | OTHER: 1
temperature | OTHER 7 OTHER: 3
temperatures | OTHER 11 OTHER: 3
tempers | OTHER 1
tempest | OTHER 1
template | OTHER 2
temple | FACILITY:Building-Grounds 8 FACILITY 5 OTHER: 1
temples | ORGANIZATION 2 FACILITY 1 OTHER 1
tempo | OTHER 1
temptation | OTHER: 1
ten | PERSON 2 OTHER 9 OTHER: 2
tenant | PERSON 1
tenants | PERSON 1
tendencies | OTHER 2
tendency | OTHER 4
tender | OTHER 4 OTHER: 1
tenet | PERSON:Individual 1
tenets | OTHER 1
tennis | OTHER 2
tens | PERSON 6 OTHER 16 OTHER: 5
tense | OTHER 2 OTHER: 2
tension | OTHER 17 OTHER: 8
tensions | OTHER 11 OTHER: 7
tent | FACILITY:Subarea-Facility 1 FACILITY:Building-Grounds 5 OTHER: 1
tentacles | OTHER 1
tents | FACILITY 3 OTHER 1
tenure | OTHER 8 OTHER: 1
teotwawki | OTHER: 1
ter | OTHER: 1
terabyte | OTHER: 1
term | OTHER 72 OTHER: 10
terminal | FACILITY:Subarea-Facility 1 FACILITY:Building-Grounds 1 FACILITY 2 OTHER 1
terminals | FACILITY 1
termination | OTHER 1 OTHER: 2
terminations | OTHER 1
terminology.. | OTHER: 1
terms | OTHER 60 OTHER: 19
tern | OTHER 1
terrace | OTHER 2
terrain | LOCATION:Region-General 1 OTHER 4
territories | GPE:Special 2 GPE:Nation 1 GPE 6 LOCATION:Region-General 2 LOCATION 4 OTHER 1
territory | GPE:Special 1 GPE:Nation 2 GPE 16 FACILITY:Building-Grounds 1 LOCATION:Region-General 6 LOCATION 14 OTHER 5 OTHER: 3
terror | OTHER 6 OTHER: 24
terrorism | OTHER 33 OTHER: 26
terrorist | PERSON:Indeterminate 7 PERSON:Individual 32 PERSON 9 PERSON:Group 4 OTHER 9 OTHER: 4
terrorists | PERSON 23 PERSON:Group 21 ORGANIZATION 1
terrorists. | PERSON:Group 1
test | OTHER 43 OTHER: 19
test-drive | OTHER 1
testament | OTHER: 1
testimonial | OTHER: 1
testimony | OTHER 46 OTHER: 5
tests | OTHER 35 OTHER: 8
tethers | OTHER 2
texan | PERSON:Individual 1
text | OTHER 11 OTHER: 5
textbook | OTHER: 1
textbooks | OTHER 1
textures | OTHER 1
th | OTHER 16 OTHER: 19
tha | OTHER 2
thanks | OTHER: 2
thanksgiving | OTHER 5
that more | OTHER: 1
that. .. | OTHER 1
that.. | OTHER: 1
thatch | OTHER 1
thats | OTHER: 1
thaw | OTHER 3 OTHER: 1
the.. | OTHER: 1
theater | GPE:Population-Center 1 FACILITY:Building-Grounds 1 FACILITY 2 OTHER 2
theaters | ORGANIZATION 3 FACILITY 1 OTHER 2
theft | OTHER 2 OTHER: 5
them. | ORGANIZATION 1
them...badly | OTHER: 1
theme | OTHER 6 OTHER: 8
themes | OTHER 6
theologian | PERSON 1
theologians | PERSON 1
theoretical | OTHER 1
theoreticians | PERSON 1
theories | OTHER 5
theorists | PERSON:Group 2
theory | OTHER 21 OTHER: 3
ther | OTHER: 1
therapist | PERSON:Individual 1
therapy | OTHER 12
there. | OTHER: 1
there. . . | OTHER 1
there. .. | OTHER 1
thermal | OTHER: 1
thermometer | OTHER 1
theropods | OTHER 1
thesis | OTHER 3 OTHER: 2
theupups | OTHER: 1
thi | OTHER: 1
thick | OTHER: 1
thicker | OTHER 1
thicket | OTHER 2
thickness | OTHER 1
thief | PERSON:Individual 1
thieves | ORGANIZATION 1 PERSON 2 PERSON:Group 4
thigh | OTHER 4
thin 4 | OTHER 1
thing | ORGANIZATION:Media 1 PERSON:Individual 1 PERSON 2 OTHER 124 OTHER: 136
thing. | OTHER: 1
thing. . . | OTHER: 1
thing...it | OTHER 1
things | FACILITY:Path 1 OTHER 157 OTHER: 112
think | ORGANIZATION:Non-Governmental 1
thinker | PERSON 4
thinkers | PERSON 3
thinking | OTHER 8 OTHER: 1
thinks | OTHER: 1
thirds | OTHER 5 OTHER: 5
thirties | OTHER 3 OTHER: 1
thirty | PERSON 1 OTHER 3 OTHER: 1
thirty-five | PERSON 1
thirty-five hundred | OTHER 1
this....zzzzzz | OTHER: 1
thompsons | PERSON 1
thoracostomy | OTHER: 1
thorn | OTHER 1
thought | OTHER 12 OTHER: 12
thoughts | OTHER 2 OTHER: 10
thous | OTHER: 1
thousand | PERSON:Group 1
thousands | PERSON 32 PERSON:Group 7 OTHER 55 OTHER: 23
thread | OTHER: 2
threads | OTHER 1
threat | PERSON:Individual 1 ORGANIZATION 1 OTHER 71 OTHER: 36
threats | OTHER 39 OTHER: 3
three | VEH:Land 1 ORGANIZATION:Non-Governmental 1 ORGANIZATION:Sports 1 ORGANIZATION 1 PERSON 16 PERSON:Group 8 FACILITY 2 WEA 1 WEA:Projectile 2 OTHER 64 OTHER: 10
three all | ORGANIZATION:Sports 1
three hundred | OTHER 1
three thousand | OTHER 1
threes | OTHER 1
threshold | OTHER 1
thrift | ORGANIZATION 6
thrifts | ORGANIZATION 7
thrill | OTHER: 1
thrills | OTHER 2
throat | OTHER: 3
throes | OTHER 1
thrombosis | OTHER: 1
throne | OTHER 3 OTHER: 3
throng | PERSON 1
throwback | OTHER 3
throwers | PERSON 4 PERSON:Group 1
thrust | OTHER 2 OTHER: 2
tht | OTHER: 1
thug | PERSON 1
thugocracy | GPE 2
thugs | PERSON 2 PERSON:Group 1
thumb | OTHER 4 OTHER: 2
thumbs | OTHER 1 OTHER: 2
thump | OTHER 1
thunder | OTHER: 1
thundershower | OTHER 1
thunderstorm | OTHER 1
thunderstorms | OTHER 5 OTHER: 1
thursday | OTHER 44 OTHER: 36
thyme | OTHER 1
tick | OTHER 1
ticker | OTHER 1
ticket | PERSON 3 OTHER 14 OTHER: 3
ticketmaster | ORGANIZATION 1
tickets | PERSON 1 OTHER 26 OTHER: 5
ticking | OTHER 1
tide | OTHER 3
tidings | OTHER 1
tidy | OTHER 1
tie | OTHER 18 OTHER: 2
tiebreaker | OTHER 1
tier | GPE 2
ties | OTHER 61 OTHER: 12
tiger | PERSON:Individual 1
tight | OTHER 1
tightness | OTHER 1
tile | OTHER 1
till | OTHER 1
timber | OTHER 2 OTHER: 1
time | ORGANIZATION:Media 2 FACILITY:Building-Grounds 1 OTHER 627 OTHER: 375
time. | OTHER: 1
time. 2 | OTHER: 1
timeframe | OTHER 1
timekeeping | OTHER 1
timeline | OTHER 1
timeout | OTHER 1
timers | PERSON 1
times | OTHER 131 OTHER: 50
timetable | OTHER 8 OTHER: 2
timetables | OTHER 1
timing | OTHER 9
timorese | GPE 1
timothy | PERSON:Individual 2
tin | OTHER 3 OTHER: 1
tiny | OTHER 1 OTHER: 1
tip | PERSON:Group 1 GPE:Population-Center 1 LOCATION:Region-General 1 LOCATION 2 OTHER 2 OTHER: 6
tip-off | OTHER 1
tipper | PERSON 1
tips | OTHER 2 OTHER: 1
tire | OTHER 7 OTHER: 3
tiremaker | ORGANIZATION 1
tires | OTHER 7
tiss | OTHER 1
tissue | OTHER 3
tissues | OTHER 2
tit | OTHER: 1
titanic | OTHER 1
titans | PERSON 1 OTHER 1
title | OTHER 25 OTHER: 16
titles | OTHER 9 OTHER: 2
titum | OTHER 1
tko | OTHER 1
toast | PERSON:Individual 1
toasties | OTHER: 1
toasts | OTHER 1
tobacco | OTHER 9 OTHER: 5
today | ORGANIZATION 5 OTHER 187 OTHER: 199
today. | OTHER 1
toddler | PERSON:Individual 1
toe | OTHER 2
toehold | OTHER: 1
toes | OTHER 1
toggles | OTHER: 2
toil | OTHER 1
toilet | OTHER 1 OTHER: 1
toilets | FACILITY 1
token | OTHER 1 OTHER: 1
tokens | OTHER: 1
tolerance | OTHER 3 OTHER: 2
toll | OTHER 25 OTHER: 10
tolls | OTHER: 1
tomahawk | WEA:Projectile 2 OTHER: 1
tomato | OTHER 1
tomatoes | OTHER 1
tomb | FACILITY 2 OTHER 2
tombstone | OTHER 1
toment | OTHER 1
tomorrow | OTHER 29 OTHER: 31
tomorrows | OTHER 2
ton | OTHER 3 OTHER: 2
tone | OTHER 6 OTHER: 2
tones | OTHER 3
tongue | OTHER 1
tongues | OTHER 1
tonight | OTHER 108 OTHER: 19
tonnes | OTHER: 1
tons | OTHER 23 OTHER: 4
tool | OTHER 10 OTHER: 1
tools | OTHER 8 OTHER: 3
tooth | OTHER: 4
toothbrush | OTHER 1 OTHER: 1
toothpaste | OTHER: 1
toothpick | OTHER 1
toothpicks | OTHER: 1
top | VEH:Subarea-Vehicle 1 FACILITY:Subarea-Facility 1 LOCATION:Land-Region-Natural 2 LOCATION 1 OTHER 77 OTHER: 89
topic | OTHER 9 OTHER: 15
topic.. | OTHER: 1
topics | OTHER 3 OTHER: 8
toppings | OTHER 1
tops | OTHER 2
tor | OTHER 1
torch | OTHER 3
torn | OTHER 1
tornado | OTHER 2 OTHER: 1
tornadoes | OTHER 4 OTHER: 2
torpedo | WEA 2 OTHER 41
torpedoes | WEA:Exploding 1 OTHER 3
torrent | OTHER 1
tors | OTHER: 1
torso | OTHER: 1
tort | OTHER: 2
torture | OTHER 7 OTHER: 7
toscape | OTHER 1
toss | OTHER 1 OTHER: 1
toss-up | OTHER 1
tossups | GPE 1
total | PERSON 1 FACILITY 1 OTHER 27 OTHER: 12
totality | OTHER 3
totals | OTHER 8 OTHER: 2
touch | OTHER 15 OTHER: 6
touchdown | OTHER 4 OTHER: 4
touches | OTHER 1
touching | OTHER 1
touchups | OTHER 1
tough enough | OTHER 1 OTHER: 2
toughest | OTHER 1
toughness | OTHER 1
tour | PERSON:Group 1 OTHER 19 OTHER: 19
tourism | OTHER 5
tourist | PERSON:Indeterminate 1 PERSON:Individual 5 PERSON 1
tourists | PERSON 18 PERSON:Group 1
tournament | OTHER 16 OTHER: 11
tournaments | OTHER 5 OTHER: 7
tourniquet | OTHER: 1
tours | OTHER 4 OTHER: 5
tout | OTHER 1
towel | OTHER: 1
tower | FACILITY:Subarea-Facility 1 FACILITY:Building-Grounds 1 FACILITY 3
towers | ORGANIZATION 1 FACILITY:Building-Grounds 1
town | GPE 79 GPE:Population-Center 45 OTHER 6 OTHER: 2
towns | GPE 14 GPE:Population-Center 2 OTHER 2
township | GPE 8
townships | GPE 1
toxin | WEA:Biological 2
toy | OTHER 1 OTHER: 4
toymaker | ORGANIZATION:Commercial 1
toys | OTHER 8 OTHER: 1
tra | OTHER 1
trace | OTHER 1 OTHER: 1
tracer | WEA:Projectile 1 OTHER 1 OTHER: 1
traces | OTHER 1
track | FACILITY 3 OTHER 23 OTHER: 10
track.. | OTHER 1
tracker | PERSON 1
tracks | FACILITY 1 OTHER 4 OTHER: 1
tracksuit | OTHER 1
tractor | OTHER: 1
tracts | FACILITY 1 OTHER 1
trade | ORGANIZATION 3 OTHER 77 OTHER: 19
trademark | OTHER 2 OTHER: 1
trademarks | OTHER 2
trader | ORGANIZATION:Commercial 1 PERSON 5
traders | PERSON 7 PERSON:Group 3
trades | OTHER 3
tradition | OTHER 14 OTHER: 13
traditional | OTHER 3 OTHER: 1
traditionalists | PERSON 1
traditions | OTHER 7 OTHER: 2
traffic | VEH 1 VEH:Land 2 OTHER 24 OTHER: 7
traffickers | PERSON 1
tragedies | OTHER 4 OTHER: 1
tragedy | OTHER 26 OTHER: 4
trail | FACILITY 5 OTHER 15 OTHER: 4
trailer | VEH:Land 1
trailers | VEH:Land 1
trails | FACILITY 1
train | VEH 3 VEH:Land 4 OTHER 16
trainer | PERSON:Individual 2
training | OTHER 23 OTHER: 15
trains | OTHER 8
trait | OTHER: 1
traitor | PERSON 2
traits | OTHER 1 OTHER: 1
trajectory | OTHER 2
tramples | OTHER: 1
trance | PERSON:Individual 1
tranquilizer | OTHER 1
trans | OTHER 2 OTHER: 4
transaction | OTHER 10 OTHER: 2
transactions | OTHER 14 OTHER: 1
transatlantic | OTHER: 1
transcript | OTHER 1 OTHER: 1
transcripts | OTHER 1
transfer | OTHER 4 OTHER: 6
transfers | OTHER 2 OTHER: 1
transformation | OTHER 4 OTHER: 3
transformations | OTHER 1
transistor | OTHER: 1
transistors | OTHER 1
transit | FACILITY 2 OTHER 2 OTHER: 1
transition | OTHER 18 OTHER: 3
transitions | OTHER: 1
transits | OTHER: 1
translation | OTHER 4
translations | OTHER: 1
translator | PERSON:Individual 25 PERSON 2 OTHER 1 OTHER: 3
translators | PERSON 1
transmission | OTHER 2
transmissions | OTHER 2
transmitter | OTHER 1
transparency | OTHER 3
transparent | OTHER 1
transplant | OTHER 13
transplantation | OTHER 1
transplants | PERSON 1 OTHER 3
transponder | OTHER 1
transport | VEH 1 OTHER 11 OTHER: 4
transportation | ORGANIZATION 1 PERSON 1 FACILITY 1 OTHER 6 OTHER: 9
transportnoye | GPE 2
transports | OTHER: 1
trap | OTHER 1 OTHER: 1
trappings | OTHER 2
traps | OTHER 1 OTHER: 2
trash | OTHER: 1
trauma | OTHER 4 OTHER: 1
travel | OTHER 23 OTHER: 24
traveler | PERSON:Individual 3 PERSON 1
travelers | PERSON 18 PERSON:Group 2
travelers. | PERSON 1
traveling | OTHER 14 OTHER: 16
travellers | PERSON 1
travelling | OTHER 1 OTHER: 1
travels | OTHER 2
travesty | OTHER 3 OTHER: 1
trawlers | VEH:Water 1
trays | OTHER 1
tread | OTHER 3
treason | OTHER 1 OTHER: 3
treasure | OTHER 1
treasurer | PERSON 7 OTHER 1
treasury | OTHER: 3
treat | OTHER: 3
treaties | OTHER 2
treatment | OTHER 38 OTHER: 11
treatments | OTHER 7 OTHER: 1
treats | OTHER: 1
treaty | OTHER 30 OTHER: 9
tree | OTHER 23 OTHER: 8
trees | OTHER 13 OTHER: 3
treever | OTHER: 1
trek | OTHER 2
trenches | OTHER: 1
trend | OTHER 24 OTHER: 4
trends | OTHER 13 OTHER: 3
trial | OTHER 141 OTHER: 70
trials | OTHER 12 OTHER: 4
triangle | OTHER: 1
tribe | PERSON 1 PERSON:Group 1 ORGANIZATION 1 GPE 1 OTHER 1
tribes | PERSON 1 PERSON:Group 2 ORGANIZATION 2 GPE 5
tribunal | ORGANIZATION:Non-Governmental 2 ORGANIZATION 17
tribunals | ORGANIZATION 1
tributaries | LOCATION 1
tribute | OTHER 9 OTHER: 2
tributes | OTHER 2 OTHER: 1
trick | OTHER: 2
trickery | OTHER: 1
tricks | OTHER 2
tricolor | OTHER 1
tries | OTHER 1
trigger | OTHER 3 OTHER: 3
trillions | OTHER 2
trimester | OTHER 1
trimmings | OTHER: 1
trio | PERSON 1
trip | OTHER 77 OTHER: 43
tripe | OTHER 1
triplets | OTHER 1
trips | OTHER 9 OTHER: 4
triumph | OTHER 7 OTHER: 1
troika | GPE:GPE-Cluster 1
troll | PERSON:Individual 1
troop | PERSON:Individual 1 PERSON 2 PERSON:Group 4
trooper | PERSON 2
troops | ORGANIZATION 4 PERSON 126 PERSON:Group 188 OTHER: 3
troops. | PERSON:Group 1
trophy | OTHER 2
trouble | OTHER 39 OTHER: 15
troubled | OTHER 1 OTHER: 2
troublemakers | PERSON 2 PERSON:Group 1
troubles | OTHER 16 OTHER: 5
trouncing | OTHER 1
troupes | PERSON 1
trousers | OTHER 1
trout | OTHER 2
truce | OTHER 6 OTHER: 3
truck | VEH 7 VEH:Land 10 OTHER 4
trucks | VEH 3 VEH:Land 12 OTHER 10
true | OTHER 3 OTHER: 3
truffles | OTHER 2
trumps | OTHER: 1
trunk | VEH:Subarea-Vehicle 1 OTHER 1
trunkfuls | OTHER 1
truss | OTHER: 1
trust | ORGANIZATION 1 OTHER 18 OTHER: 9
trustee | PERSON:Individual 9 PERSON 1
trustees | PERSON 2
trusts | OTHER: 1
trustworthiness | OTHER: 2
truth | PERSON 1 OTHER 38 OTHER: 17
truth. | OTHER: 1
